Video ID,Comment ID,comments
EqzUcMzfV1w,UgyLFExsE0aXggzVhxp4AaABAg,I  have  been  waiting  for  this  and  it's  finally  here    God  bless  you  and  your  family  Brad  
EqzUcMzfV1w,UgwOIv3eFb5Jr3mD1ut4AaABAg,Thanks  Brad    your  videos  have  helped  me  out  a  lot    I  started  in  July  2021  and  I'm  now  learning  React    It's  been  a  pain  as  my  JS  isn't  'great'  yet    your  React  courses  really  got  me  into  it      2022  is  the  year  I  will  hopefully  get  a  job  
EqzUcMzfV1w,Ugz9DZMBEHNDcNiIVIl4AaABAg,Thank  you  Brad    I  am  considering  a  career  change    Just  Bought  your  Moden  HTML  CSS  from  the  Beginning  on  Udemy  as  a  start  to  see  if  i  can  understand      Great  beginning  overview  for  someone  like  myself  with  no  background
EqzUcMzfV1w,UgxXMVUHaC9krozN2f94AaABAg,When  I  was  first  trying  to  work  out  what  I  needed  to  learn  for  web  development    I  listened  to  an  earlier  version  of  this  video  and  was  duly  intimidated    There  are  just  so  many  things  to  learn  and  at  that  point  I  didn't  know  really  what  a  lot  of  these  things  like  'frameworks'  or  packages  or  libraries  were  let  alone  what  they  did    If  there's  any  beginners  out  there  reading  this  who  feel  the  same  about  how  incomprehensibly  complex  this  seems    take  heart    Six  months  later  after  doing  a  web  developer  bootcamp  udemy  course  I  now  have  an  idea  of  what  most  of  these  things  are  and  what  kind  of  uses  they  have    If  you  are  in  a  position  of  feeling  intimidated  by  the  sheer  amount  of  things    definitely  going  through  a  web  developer  course  can  help  clarify  so  much  what  this  is  all  about  
EqzUcMzfV1w,UgxgYF9biOw90X3pDc54AaABAg,You  are  a  gem  to  community  Brad    Thank  you  so  much    Your  videos  always  rock  
EqzUcMzfV1w,UgwNXIwApAl3zeycVvx4AaABAg,Thanks  for  this  very  helpful  guide    Wish  you  the  best  year  brad    
EqzUcMzfV1w,UgxDKUYFFOdOW9PrDjd4AaABAg,Great    Thanks  a  lot  for  all  this    I  think  Docker  is  really  useful  even  for  everybody    Even  outside  enterprise  environments    And  if  you  do  get  a  job  in  IT  development    you  will  most  likely  need  it  
EqzUcMzfV1w,UgwMMM_pGFAaWFkeCsV4AaABAg,Definitely    The  most  anticipated  dev  related  video  of  2022  
EqzUcMzfV1w,UgzzSQAHlyCoCHCAyxN4AaABAg,This  is  a  good  and  detailed  video  for  anyone  who  are  confused  and  feeling  lost  including  me    HAHAHA  all  the  best  to  everyone  who  watch  this  and  hope  you  guys  found  the  path  you  are  going  to  be  in  the  upcoming  years    Thanks  Brad    
EqzUcMzfV1w,Ugx26PMvgdGhIq4NLu94AaABAg,i  managed  to  watch  the  whole  thing    very  grateful  for  the  time  you  put  into  these  videos  dude    i'm  unemployed  right  now  and  have  been  trying  to  convert  my  casual  interest  in  this  topic  into  a  more  serious  thing    thank  you  so  much  for  existing
EqzUcMzfV1w,UgzCGo4oiXtW7zlp5k94AaABAg,Great  content  as  always    Putting  Web3  at  the  end  was  a  really  smart  move  because  it  really  is  just  hype  and  wishful  thinking      I  would  love  to  see  you  go  in  depth  into  this  crypto  marketing  term  to  see  how  hollow  it  is    Please  keep  doing  the  good  work    you  are  a  teacher  with  millions  of  students  worldwide  
EqzUcMzfV1w,Ugz21t8RBno2SE0_ZBd4AaABAg,nice    pretty  entertaining  way  to  go  through  the  entire  ecosystem
EqzUcMzfV1w,UgyycZY-K8H4tGpa0ph4AaABAg,I'm  just  a  beginner  in  web  dev  just  started  with  html  and  css      This  is  a  gold  mine  i  could  say  but  its  really  overwhelming  as  a  beginner  to  see  soo  many  things  are  there  for  me  to  learn    
EqzUcMzfV1w,UgzVtv4MxUa9hGH4Gcx4AaABAg,You  broke  it  down  to  pieces    One  of  the  best  roadmaps  ever  so  far  
